State,Year,Total Population
GEORGIA,1996,7332225
HAWAII,1996,1184434
IDAHO,1996,1187706
ILLINOIS,1996,11953003
INDIANA,1996,5834908
IOWA,1996,2848473
KANSAS,1996,2598266
KENTUCKY,1996,3881051
LOUISIANA,1996,4338763
MAINE,1996,1241436
MARYLAND,1996,5057142
MASSACHUSETTS,1996,6085393
MICHIGAN,1996,9739184
MINNESOTA,1996,4647723
MISSISSIPPI,1996,2709925
MISSOURI,1996,5367888
MONTANA,1996,876656
NEBRASKA,1996,1647657
NEVADA,1996,1596476
NEW HAMPSHIRE,1996,1160768
NEW JERSEY,1996,8009624
NEW MEXICO,1996,1706151
NEW YORK,1996,18143805
NORTH CAROLINA,1996,7307658
NORTH DAKOTA,1996,642858
OHIO,1996,11187032
OKLAHOMA,1996,3289634
OREGON,1996,3195087
PENNSYLVANIA,1996,12038008
RHODE ISLAND,1996,987858
SOUTH CAROLINA,1996,3738974
SOUTH DAKOTA,1996,730699
TENNESSEE,1996,5313576
TEXAS,1996,19006240
UTAH,1996,2022253
VERMONT,1996,586352
VIRGINIA,1996,6665491
WASHINGTON,1996,5509963
WEST VIRGINIA,1996,1818983
WISCONSIN,1996,5173828
WYOMING,1996,480085
ALABAMA,1994,4232965
ALASKA,1994,600624
ARIZONA,1994,4147561
ARKANSAS,1994,2450605
CALIFORNIA,1994,31317179
COLORADO,1994,3653910
CONNECTICUT,1994,3268346
DELAWARE,1994,708416
DISTRICT OF COLUMBIA,1994,564982
FLORIDA,1994,13961798
GEORGIA,1994,7045900
HAWAII,1994,1173903
IDAHO,1994,1135459
ILLINOIS,1994,11804986
INDIANA,1994,5745626
IOWA,1994,2829422
KANSAS,1994,2569118
KENTUCKY,1994,3823215
LOUISIANA,1994,4306500
MAINE,1994,1237687
MARYLAND,1994,4985411
MASSACHUSETTS,1994,6031352
MICHIGAN,1994,9584481
MINNESOTA,1994,4566028
MISSISSIPPI,1994,2663450
MISSOURI,1994,5281206
MONTANA,1994,854923
NEBRASKA,1994,1621551
NEVADA,1994,1456388
NEW HAMPSHIRE,1994,1133054
NEW JERSEY,1994,7918796
NEW MEXICO,1994,1653329
NEW YORK,1994,18156652
NORTH CAROLINA,1994,7060959
NORTH DAKOTA,1994,639762
OHIO,1994,11111451
OKLAHOMA,1994,3246119
OREGON,1994,3087142
