State,Year,Total Population
Ohio,1993,11070385
Oklahoma,1993,3228829
Oregon,1993,3034490
Pennsylvania,1993,12022128
Rhode Island,1993,997852
South Carolina,1993,3634507
South Dakota,1993,716258
Tennessee,1993,5085666
Texas,1993,17996764
Utah,1993,1875993
Vermont,1993,574004
Virginia,1993,6464795
Washington,1993,5247704
West Virginia,1993,1816179
Wisconsin,1993,5055318
Wyoming,1993,469033
Alabama,1994,4232965
Alaska,1994,600624
Arizona,1994,4147561
Arkansas,1994,2450605
California,1994,31317179
Colorado,1994,3653910
Connecticut,1994,3268346
Delaware,1994,708416
District Of Columbia,1994,564982
Florida,1994,13961798
Georgia,1994,7045900
Hawaii,1994,1173903
Idaho,1994,1135459
Illinois,1994,11804986
Indiana,1994,5745626
Iowa,1994,2829422
Kansas,1994,2569118
Kentucky,1994,3823215
Louisiana,1994,4306500
Maine,1994,1237687
Maryland,1994,4985411
Massachusetts,1994,6031352
Michigan,1994,9584481
Minnesota,1994,4566028
Mississippi,1994,2663450
Missouri,1994,5281206
Montana,1994,854923
Nebraska,1994,1621551
Nevada,1994,1456388
New Hampshire,1994,1133054
New Jersey,1994,7918796
New Mexico,1994,1653329
New York,1994,18156652
North Carolina,1994,7060959
North Dakota,1994,639762
Ohio,1994,11111451
Oklahoma,1994,3246119
Oregon,1994,3087142
Pennsylvania,1994,12042545
Rhode Island,1994,993412
South Carolina,1994,3666456
South Dakota,1994,723038
Tennessee,1994,5163016
Texas,1994,18338319
Utah,1994,1930436
Vermont,1994,578900
Virginia,1994,6536771
Washington,1994,5334896
West Virginia,1994,1818490
Wisconsin,1994,5095504
Wyoming,1994,474982
Alabama,1995,4262731
Alaska,1995,601345
Arizona,1995,4306908
Arkansas,1995,2480121
California,1995,31493525
Colorado,1995,3738061
Connecticut,1995,3265293
Delaware,1995,718265
District Of Columbia,1995,551273
Florida,1995,14185403
Georgia,1995,7188538
Hawaii,1995,1180490
Idaho,1995,1165000
Illinois,1995,11884935
Indiana,1995,5791819
Iowa,1995,2840860
Kansas,1995,2586942
Kentucky,1995,3855248
Louisiana,1995,4327978
Maine,1995,1237438
Maryland,1995,5023650
Massachusetts,1995,6062335
Michigan,1995,9659871
Minnesota,1995,4605445
Mississippi,1995,2690788
Missouri,1995,5324610
Montana,1995,868522
Nebraska,1995,1635142
Nevada,1995,1525777
New Hampshire,1995,1145604
New Jersey,1995,7965523
New Mexico,1995,1682417
New York,1995,18150928
North Carolina,1995,7185403
North Dakota,1995,641548
Ohio,1995,11155493
Oklahoma,1995,3265547
Oregon,1995,3141421
