State,Year,Total Population
Delaware,1975,584578
District of Columbia,1975,704456
Florida,1975,8459715
Georgia,1975,5025914
Hawaii,1975,880103
Idaho,1975,825009
Illinois,1975,11209629
Indiana,1975,5304574
Iowa,1975,2843547
Kansas,1975,2250229
Kentucky,1975,3438639
Louisiana,1975,3861190
Maine,1975,1061889
Maryland,1975,4131062
Massachusetts,1975,5700400
Michigan,1975,9041569
Minnesota,1975,3883323
Mississippi,1975,2380168
Missouri,1975,4742865
Montana,1975,741375
Nebraska,1975,1521920
Nevada,1975,617341
New Hampshire,1975,822237
New Jersey,1975,7282990
New Mexico,1975,1156126
New York,1975,17870729
North Carolina,1975,5500108
North Dakota,1975,631748
Ohio,1975,10679364
Oklahoma,1975,2743231
Oregon,1975,2301387
Pennsylvania,1975,11788875
Rhode Island,1975,936760
South Carolina,1975,2884395
South Dakota,1975,672849
Tennessee,1975,4226960
Texas,1975,12478210
Utah,1975,1226823
Vermont,1975,474910
Virginia,1975,5022920
Washington,1975,3585067
West Virginia,1975,1823299
Wisconsin,1975,4524211
Wyoming,1975,377647
Alabama,1976,3707769
Alaska,1976,392408
Arizona,1976,2333678
Arkansas,1976,2146530
California,1976,21754163
Colorado,1976,2612250
Connecticut,1976,3056827
Delaware,1976,588484
District of Columbia,1976,690479
Florida,1976,8607776
Georgia,1976,5092838
Hawaii,1976,897548
Idaho,1976,850035
Illinois,1976,11262116
Indiana,1976,5324346
Iowa,1976,2865154
Kansas,1976,2270018
Kentucky,1976,3500262
Louisiana,1976,3925320
Maine,1976,1078459
Maryland,1976,4145418
Massachusetts,1976,5686307
Michigan,1976,9049495
Minnesota,1976,3912964
Mississippi,1976,2410147
Missouri,1976,4770410
Montana,1976,750610
Nebraska,1976,1528909
Nevada,1976,644163
New Hampshire,1976,839107
New Jersey,1976,7284019
New Mexico,1976,1188383
New York,1976,17811095
North Carolina,1976,5557104
North Dakota,1976,638407
Ohio,1976,10660209
Oklahoma,1976,2794100
Oregon,1976,2348654
Pennsylvania,1976,11777648
Rhode Island,1976,940545
South Carolina,1976,2925144
South Dakota,1976,678058
Tennessee,1976,4294743
Texas,1976,12810928
Utah,1976,1265131
Vermont,1976,480110
Virginia,1976,5098778
Washington,1976,3655862
West Virginia,1976,1860476
Wisconsin,1976,4538110
Wyoming,1976,392584
Alabama,1977,3751992
Alaska,1977,396618
Arizona,1977,2411563
Arkansas,1977,2183868
California,1977,22159087
Colorado,1977,2674813
Connecticut,1977,3057893
Delaware,1977,590191
District of Columbia,1977,675774
Florida,1977,8794001
Georgia,1977,5176493
Hawaii,1977,910872
Idaho,1977,876050
Illinois,1977,11303613
Indiana,1977,5355692
Iowa,1977,2873735
Kansas,1977,2287917
Kentucky,1977,3543475
Louisiana,1977,3987826
Maine,1977,1093206
Maryland,1977,4166292
Massachusetts,1977,5677985
Michigan,1977,9085487
Minnesota,1977,3933335
Mississippi,1977,2438561
Missouri,1977,4789479
Montana,1977,763127
Nebraska,1977,1533497
Nevada,1977,675206
New Hampshire,1977,863552
New Jersey,1977,7278528
New Mexico,1977,1217910
New York,1977,17679587
North Carolina,1977,5629715
North Dakota,1977,641954
Ohio,1977,10673894
Oklahoma,1977,2835186
Oregon,1977,2414369
Pennsylvania,1977,11766683
Rhode Island,1977,944788
South Carolina,1977,2971693
South Dakota,1977,679758
Tennessee,1977,4365807
Texas,1977,13093955
Utah,1977,1308799
