table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..White,"804,007","804,665","804,652","806,285","808,502","810,590","813,846","816,422","819,247","821,915","827,136","831,428","832,848"
..Black,"35,391","35,494","36,171","36,668","37,228","37,967","38,538","39,341","40,093","41,005","41,696","42,274","42,399"
..AIAN,"7,918","7,979","8,306","8,513","8,906","9,286","9,641","10,064","10,435","11,103","11,309","11,669","11,683"
..Asian,"11,664","11,814","12,319","12,919","13,571","14,157","14,642","15,117","15,702","16,220","16,812","17,339","17,433"
..NHPI,455,458,516,572,588,654,700,762,787,902,969,988,986
.Two or More Races,"8,468","8,570","9,244","9,846","10,567","11,330","12,101","12,981","13,842","14,669","15,697","16,347","16,567"
.NOT HISPANIC,"824,918","825,507","824,114","824,131","825,042","826,451","828,484","830,148","832,286","834,078","837,652","840,789","842,040"
..One Race,"817,129","817,635","815,701","815,244","815,613","816,405","817,866","818,863","820,334","821,508","824,234","826,861","827,992"
...White,"763,819","764,065","761,045","759,501","758,673","758,029","758,590","758,445","758,637","758,463","759,988","761,631","762,558"
...Black,"34,600","34,697","35,231","35,647","36,151","36,809","37,227","37,848","38,538","39,235","39,818","40,300","40,405"
...AIAN,"6,939","6,953","7,012","7,082","7,155","7,316","7,356","7,414","7,496","7,575","7,596","7,642","7,648"
...Asian,"11,439","11,588","12,063","12,642","13,264","13,850","14,270","14,713","15,222","15,744","16,315","16,797","16,889"
...NHPI,332,332,350,372,370,401,423,443,441,491,517,491,492
..Two or More Races,"7,789","7,872","8,413","8,887","9,429","10,046","10,618","11,285","11,952","12,570","13,418","13,928","14,048"
.HISPANIC,"42,985","43,473","47,094","50,672","54,320","57,533","60,984","64,539","67,820","71,736","75,967","79,256","79,876"
..One Race,"42,306","42,775","46,263","49,713","53,182","56,249","59,501","62,843","65,930","69,637","73,688","76,837","77,357"
...White,"40,188","40,600","43,607","46,784","49,829","52,561","55,256","57,977","60,610","63,452","67,148","69,797","70,290"
...Black,791,797,940,"1,021","1,077","1,158","1,311","1,493","1,555","1,770","1,878","1,974","1,994"
...AIAN,979,"1,026","1,294","1,431","1,751","1,970","2,285","2,650","2,939","3,528","3,713","4,027","4,035"
...Asian,225,226,256,277,307,307,372,404,480,476,497,542,544
...NHPI,123,126,166,200,218,253,277,319,346,411,452,497,494
..Two or More Races,679,698,831,959,"1,138","1,284","1,483","1,696","1,890","2,099","2,279","2,419","2,519"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nebraska: April 1, 2000 to July 1, 2010 (ST-EST2010-03-31)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
