table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Two or More Races,"4,333","4,379","4,690","5,010","5,325","5,693","6,133","6,471","6,859","7,250","7,729","8,046","8,206"
.NOT HISPANIC,"375,199","375,551","375,665","375,891","376,648","379,141","380,936","383,950","387,656","390,678","393,285","396,649","397,555"
..One Race,"371,103","371,410","371,241","371,192","371,677","373,846","375,267","378,004","381,353","384,035","386,230","389,292","390,141"
...White,"336,083","336,228","335,413","334,616","334,362","335,666","336,385","338,284","340,586","342,474","343,705","345,825","346,548"
...Black,"1,667","1,673","1,913","2,186","2,394","2,600","2,836","3,004","3,354","3,558","3,692","3,976","3,974"
...AIAN,"30,929","31,059","31,333","31,646","32,003","32,458","32,790","33,260","33,781","34,275","34,775","35,324","35,444"
...Asian,"2,321","2,347","2,467","2,613","2,791","2,977","3,109","3,305","3,472","3,576","3,891","4,003","4,015"
...NHPI,103,103,115,131,127,145,147,151,160,152,167,164,160
..Two or More Races,"4,096","4,141","4,424","4,699","4,971","5,295","5,669","5,946","6,303","6,643","7,055","7,357","7,414"
.HISPANIC,"5,094","5,130","5,872","6,437","6,985","7,536","8,085","8,470","8,994","9,558","9,913","10,150","10,308"
..One Race,"4,857","4,892","5,606","6,126","6,631","7,138","7,621","7,945","8,438","8,951","9,239","9,461","9,516"
...White,"3,975","4,005","4,535","4,918","5,302","5,747","6,138","6,355","6,692","7,015","7,391","7,600","7,644"
...Black,84,84,106,121,145,137,173,167,182,194,210,185,189
...AIAN,726,731,884,994,"1,083","1,153","1,200","1,293","1,429","1,593","1,481","1,517","1,524"
...Asian,49,49,55,59,60,58,62,71,74,77,78,80,82
...NHPI,23,23,26,34,41,43,48,59,61,72,79,79,77
..Two or More Races,237,238,266,311,354,398,464,525,556,607,674,689,792
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2010 (ST-EST2010-03-46)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
