table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alaska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..Black,"10,856","10,813","10,888","11,157","11,171","11,140","10,860","10,905","10,887","10,784","11,082","10,972","11,027"
..AIAN,"49,160","49,252","49,456","49,735","50,057","50,528","50,929","51,290","51,438","51,601","52,320","52,540","52,856"
..Asian,"13,657","13,828","14,502","15,221","15,961","16,554","17,242","17,728","18,214","18,940","20,081","20,625","20,812"
..NHPI,"1,681","1,715","1,891","2,113","2,318","2,439","2,717","2,840","3,016","3,216","3,595","3,752","3,759"
.Two or More Races,"14,754","14,988","15,588","16,384","17,102","18,270","19,081","20,278","21,164","22,062","23,312","24,426","24,659"
.NOT HISPANIC,"290,237","290,570","292,032","295,175","297,807","301,870","304,320","308,019","309,570","311,450","318,241","321,482","322,952"
..One Race,"276,309","276,420","277,411","279,847","281,923","284,930","286,696","289,367","290,217","291,288","297,002","299,215","300,568"
...White,"203,083","202,951","203,084","204,283","205,263","207,294","208,094","209,833","209,955","210,192","213,510","214,865","215,688"
...Black,"10,026","9,971","9,993","10,216","10,212","10,148","9,883","9,902","9,839","9,699","9,906","9,811","9,858"
...AIAN,"48,227","48,320","48,381","48,506","48,733","49,094","49,389","49,734","49,822","49,990","50,659","50,882","51,181"
...Asian,"13,388","13,559","14,179","14,876","15,555","16,118","16,794","17,249","17,781","18,417","19,557","20,114","20,294"
...NHPI,"1,585","1,619","1,774","1,966","2,160","2,276","2,536","2,649","2,820","2,990","3,370","3,543","3,547"
..Two or More Races,"13,928","14,150","14,621","15,328","15,884","16,940","17,624","18,652","19,353","20,162","21,239","22,267","22,384"
.HISPANIC,"12,584","12,643","13,547","14,458","15,227","15,937","16,600","17,102","17,568","17,962","18,761","19,121","19,401"
..One Race,"11,758","11,805","12,580","13,402","14,009","14,607","15,143","15,476","15,757","16,062","16,688","16,962","17,126"
...White,"9,630","9,666","10,170","10,740","11,162","11,582","11,997","12,247","12,464","12,617","13,102","13,423","13,552"
...Black,830,842,895,941,959,992,977,"1,003","1,048","1,085","1,176","1,161","1,169"
...AIAN,933,932,"1,075","1,229","1,324","1,434","1,540","1,556","1,616","1,611","1,661","1,658","1,675"
...Asian,269,269,323,345,406,436,448,479,433,523,524,511,518
...NHPI,96,96,117,147,158,163,181,191,196,226,225,209,212
..Two or More Races,826,838,967,"1,056","1,218","1,330","1,457","1,626","1,811","1,900","2,073","2,159","2,275"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alaska: April 1, 2000 to July 1, 2010 (ST-EST2010-03-02)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
