table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"12,881","13,195","14,385","15,680","16,586","18,224","19,615","21,665","23,641","26,362","28,991","31,125","31,410"
...AIAN,"3,828","4,236","5,847","7,390","9,000","10,485","12,128","13,799","15,562","17,358","19,461","20,917","21,046"
...Asian,"1,361","1,396","1,568","1,671","1,866","1,915","2,233","2,414","2,556","2,902","3,031","3,494","3,525"
...NHPI,898,932,"1,102","1,229","1,384","1,561","1,679","1,815","2,059","2,288","2,462","2,677","2,691"
..Two or More Races,"2,790","2,945","3,811","4,733","5,633","6,613","7,740","8,773","9,857","11,079","12,339","13,297","13,344"
FEMALE,"4,104,692","4,119,034","4,187,317","4,250,179","4,313,901","4,376,070","4,457,189","4,563,152","4,677,313","4,771,376","4,846,501","4,889,991","4,902,589"
.One Race,"4,069,067","4,082,585","4,146,479","4,204,941","4,264,186","4,321,541","4,397,409","4,497,542","4,604,980","4,692,498","4,761,022","4,800,049","4,812,036"
..White,"3,026,418","3,034,151","3,076,351","3,114,214","3,151,947","3,188,623","3,239,226","3,307,347","3,380,376","3,436,926","3,478,885","3,499,873","3,506,700"
..Black,"928,212","932,407","947,130","961,216","975,617","989,682","1,007,231","1,030,781","1,056,007","1,078,518","1,097,188","1,109,206","1,113,244"
..AIAN,"51,598","52,255","54,311","56,360","58,439","60,439","62,510","64,786","67,146","69,289","71,778","73,706","74,045"
..Asian,"60,681","61,563","66,259","70,514","75,299","79,680","85,100","90,935","97,453","103,523","108,622","112,377","113,120"
..NHPI,"2,158","2,209","2,428","2,637","2,884","3,117","3,342","3,693","3,998","4,242","4,549","4,887","4,927"
.Two or More Races,"35,625","36,449","40,838","45,238","49,715","54,529","59,780","65,610","72,333","78,878","85,479","89,942","90,553"
.NOT HISPANIC,"3,952,386","3,964,193","4,012,661","4,056,718","4,101,718","4,144,652","4,203,383","4,284,337","4,370,372","4,437,543","4,490,112","4,517,606","4,527,518"
..One Race,"3,919,123","3,930,299","3,975,334","4,015,936","4,057,423","4,096,500","4,151,059","4,227,233","4,307,706","4,369,474","4,416,649","4,440,573","4,449,928"
...White,"2,891,445","2,897,476","2,923,707","2,946,673","2,969,760","2,991,336","3,024,030","3,072,221","3,122,500","3,158,018","3,183,324","3,193,471","3,198,068"
...Black,"917,308","921,281","934,833","947,594","960,658","973,153","989,046","1,010,347","1,033,179","1,053,010","1,069,008","1,078,687","1,082,467"
...AIAN,"49,233","49,531","50,136","50,744","51,449","52,035","52,677","53,483","54,355","54,947","55,736","56,405","56,637"
...Asian,"59,593","60,451","64,993","69,164","73,722","78,022","83,240","88,915","95,277","100,965","105,949","109,311","110,037"
...NHPI,"1,544","1,560","1,665","1,761","1,834","1,954","2,066","2,267","2,395","2,534","2,632","2,699","2,719"
..Two or More Races,"33,263","33,894","37,327","40,782","44,295","48,152","52,324","57,104","62,666","68,069","73,463","77,033","77,590"
.HISPANIC,"152,306","154,841","174,656","193,461","212,183","231,418","253,806","278,815","306,941","333,833","356,389","372,385","375,071"
..One Race,"149,944","152,286","171,145","189,005","206,763","225,041","246,350","270,309","297,274","323,024","344,373","359,476","362,108"
...White,"134,973","136,675","152,644","167,541","182,187","197,287","215,196","235,126","257,876","278,908","295,561","306,402","308,632"
...Black,"10,904","11,126","12,297","13,622","14,959","16,529","18,185","20,434","22,828","25,508","28,180","30,519","30,777"
...AIAN,"2,365","2,724","4,175","5,616","6,990","8,404","9,833","11,303","12,791","14,342","16,042","17,301","17,408"
...Asian,"1,088","1,112","1,266","1,350","1,577","1,658","1,860","2,020","2,176","2,558","2,673","3,066","3,083"
...NHPI,614,649,763,876,"1,050","1,163","1,276","1,426","1,603","1,708","1,917","2,188","2,208"
..Two or More Races,"2,362","2,555","3,511","4,456","5,420","6,377","7,456","8,506","9,667","10,809","12,016","12,909","12,963"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2010 (ST-EST2010-03-37)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
