table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Hampshire: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..AIAN,"1,438","1,445","1,530","1,583","1,628","1,667","1,679","1,728","1,739","1,782","1,758","1,688","1,672"
..Asian,"8,346","8,492","9,471","10,376","11,118","11,816","12,565","13,195","13,863","14,499","15,001","15,219","15,267"
..NHPI,216,216,234,263,254,240,263,275,265,262,280,270,271
.Two or More Races,"5,085","5,157","5,602","6,070","6,466","6,898","7,384","7,881","8,293","8,821","9,184","9,512","9,678"
.NOT HISPANIC,"618,125","620,017","626,157","631,343","635,365","639,780","642,948","646,798","648,290","649,153","648,765","648,759","648,618"
..One Race,"613,321","615,142","620,898","625,682","629,348","633,368","636,158","639,615","640,749","641,138","640,450","640,140","639,936"
...White,"599,792","601,457","605,813","609,388","612,019","615,037","616,867","619,417","619,761","619,361","618,045","617,588","617,372"
...Black,"3,799","3,802","4,201","4,436","4,744","5,039","5,260","5,550","5,715","5,884","5,995","6,036","6,020"
...AIAN,"1,282","1,289","1,326","1,368","1,383","1,418","1,408","1,408","1,394","1,414","1,399","1,315","1,301"
...Asian,"8,265","8,411","9,364","10,272","11,005","11,697","12,424","13,039","13,692","14,308","14,824","15,030","15,077"
...NHPI,183,183,194,218,197,177,199,201,187,171,187,171,166
..Two or More Races,"4,804","4,875","5,259","5,661","6,017","6,412","6,790","7,183","7,541","8,015","8,315","8,619","8,682"
.HISPANIC,"9,987","10,094","11,255","12,337","13,148","14,065","14,984","15,975","16,697","17,423","18,110","18,317","18,505"
..One Race,"9,706","9,812","10,912","11,928","12,699","13,579","14,390","15,277","15,945","16,617","17,241","17,424","17,509"
...White,"8,815","8,920","9,826","10,767","11,473","12,227","12,948","13,671","14,333","14,841","15,439","15,603","15,677"
...Black,621,622,735,797,811,921,966,"1,056","1,018","1,126","1,173","1,160","1,166"
...AIAN,156,156,204,215,245,249,271,320,345,368,359,373,371
...Asian,81,81,107,104,113,119,141,156,171,191,177,189,190
...NHPI,33,33,40,45,57,63,64,74,78,91,93,99,105
..Two or More Races,281,282,343,409,449,486,594,698,752,806,869,893,996
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Hampshire: April 1, 2000 to July 1, 2010 (ST-EST2010-03-33)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
