table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Mississippi: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
FEMALE,"1,471,153","1,472,553","1,473,486","1,475,412","1,479,611","1,490,115","1,497,962","1,496,313","1,507,071","1,516,955","1,522,000","1,526,057","1,527,189"
.One Race,"1,462,958","1,464,312","1,464,586","1,465,767","1,469,328","1,479,108","1,486,170","1,483,932","1,493,949","1,503,033","1,507,380","1,510,846","1,511,801"
..White,"896,109","896,435","895,534","895,060","896,113","900,809","903,702","896,467","900,402","902,996","904,276","904,452","904,364"
..Black,"550,359","551,267","551,950","552,973","554,727","558,968","562,462","567,095","572,471","578,219","580,469","583,353","584,335"
..AIAN,"6,018","6,044","6,270","6,528","6,812","7,093","7,231","7,465","7,653","7,876","8,110","8,308","8,313"
..Asian,"10,105","10,201","10,420","10,725","11,167","11,679","12,213","12,270","12,769","13,251","13,719","13,963","14,020"
..NHPI,367,365,412,481,509,559,562,635,654,691,806,770,769
.Two or More Races,"8,195","8,241","8,900","9,645","10,283","11,007","11,792","12,381","13,122","13,922","14,620","15,211","15,388"
.NOT HISPANIC,"1,454,456","1,455,702","1,454,893","1,455,238","1,457,732","1,466,591","1,472,524","1,469,471","1,477,886","1,485,727","1,488,966","1,492,259","1,493,138"
..One Race,"1,446,727","1,447,926","1,446,576","1,446,260","1,448,216","1,456,408","1,461,691","1,458,152","1,465,900","1,473,048","1,475,684","1,478,483","1,479,284"
...White,"883,535","883,734","881,387","879,587","879,190","882,490","883,725","875,444","877,443","878,216","878,119","877,791","877,569"
...Black,"547,202","548,091","548,735","549,701","551,432","555,556","558,991","563,552","568,699","574,436","576,528","579,393","580,356"
...AIAN,"5,773","5,790","5,922","6,099","6,300","6,507","6,599","6,717","6,820","6,978","7,054","7,153","7,154"
...Asian,"9,917","10,013","10,215","10,507","10,923","11,452","11,977","12,000","12,506","12,960","13,447","13,662","13,720"
...NHPI,300,298,317,366,371,403,399,439,432,458,536,484,485
..Two or More Races,"7,729","7,776","8,317","8,978","9,516","10,183","10,833","11,319","11,986","12,679","13,282","13,776","13,854"
.HISPANIC,"16,697","16,851","18,593","20,174","21,879","23,524","25,438","26,842","29,185","31,228","33,034","33,798","34,051"
..One Race,"16,231","16,386","18,010","19,507","21,112","22,700","24,479","25,780","28,049","29,985","31,696","32,363","32,517"
...White,"12,574","12,701","14,147","15,473","16,923","18,319","19,977","21,023","22,959","24,780","26,157","26,661","26,795"
...Black,"3,157","3,176","3,215","3,272","3,295","3,412","3,471","3,543","3,772","3,783","3,941","3,960","3,979"
...AIAN,245,254,348,429,512,586,632,748,833,898,"1,056","1,155","1,159"
...Asian,188,188,205,218,244,227,236,270,263,291,272,301,300
...NHPI,67,67,95,115,138,156,163,196,222,233,270,286,284
..Two or More Races,466,465,583,667,767,824,959,"1,062","1,136","1,243","1,338","1,435","1,534"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Mississippi: April 1, 2000 to July 1, 2010 (ST-EST2010-03-28)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
