table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Idaho: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.One Race,"636,934","639,496","648,947","658,941","669,470","682,064","699,998","719,151","736,336","750,181","759,918","766,184","767,760"
..White,"617,890","620,273","628,721","637,781","647,362","658,934","675,477","693,491","709,109","721,879","730,762","736,469","737,954"
..Black,"2,387","2,385","2,716","3,005","3,222","3,469","3,797","3,995","4,293","4,472","4,686","4,598","4,613"
..AIAN,"9,245","9,319","9,595","9,871","10,129","10,431","10,862","11,185","11,641","12,131","12,359","12,758","12,784"
..Asian,"6,743","6,847","7,136","7,457","7,889","8,329","8,888","9,439","10,143","10,469","10,842","11,060","11,114"
..NHPI,669,672,779,827,868,901,974,"1,041","1,150","1,230","1,269","1,299","1,295"
.Two or More Races,"8,362","8,488","9,096","9,745","10,407","11,122","11,985","12,953","13,791","14,611","15,480","16,074","16,283"
.NOT HISPANIC,"598,168","600,222","607,271","615,146","623,458","633,562","648,339","663,375","676,457","686,695","693,703","697,964","699,093"
..One Race,"590,703","592,661","599,269","606,685","614,481","624,110","638,241","652,586","665,049","674,676","681,066","684,919","685,917"
...White,"573,631","575,460","581,381","588,186","595,318","604,193","617,381","630,957","642,418","651,371","657,245","660,959","661,886"
...Black,"1,966","1,962","2,245","2,477","2,683","2,900","3,129","3,265","3,476","3,630","3,770","3,668","3,669"
...AIAN,"8,034","8,065","8,126","8,196","8,219","8,319","8,464","8,541","8,622","8,766","8,800","8,858","8,874"
...Asian,"6,507","6,608","6,873","7,152","7,567","7,962","8,476","9,004","9,610","9,920","10,227","10,412","10,466"
...NHPI,565,566,644,674,694,736,791,819,923,989,"1,024","1,022","1,022"
..Two or More Races,"7,465","7,561","8,002","8,461","8,977","9,452","10,098","10,789","11,408","12,019","12,637","13,045","13,176"
.HISPANIC,"47,128","47,762","50,772","53,540","56,419","59,624","63,644","68,729","73,670","78,097","81,695","84,294","84,950"
..One Race,"46,231","46,835","49,678","52,256","54,989","57,954","61,757","66,565","71,287","75,505","78,852","81,265","81,843"
...White,"44,259","44,813","47,340","49,595","52,044","54,741","58,096","62,534","66,691","70,508","73,517","75,510","76,068"
...Black,421,423,471,528,539,569,668,730,817,842,916,930,944
...AIAN,"1,211","1,254","1,469","1,675","1,910","2,112","2,398","2,644","3,019","3,365","3,559","3,900","3,910"
...Asian,236,239,263,305,322,367,412,435,533,549,615,648,648
...NHPI,104,106,135,153,174,165,183,222,227,241,245,277,273
..Two or More Races,897,927,"1,094","1,284","1,430","1,670","1,887","2,164","2,383","2,592","2,843","3,029","3,107"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Idaho: April 1, 2000 to July 1, 2010 (ST-EST2010-03-16)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
