table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Colorado: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...AIAN,"10,251","10,510","11,536","12,529","13,404","14,508","15,766","16,924","18,219","20,172","22,077","23,830","24,020"
...Asian,"1,760","1,798","2,030","2,218","2,299","2,581","2,840","3,013","3,181","3,395","3,696","3,953","3,982"
...NHPI,849,858,938,"1,020","1,063","1,082","1,067","1,109","1,166","1,207","1,334","1,346","1,363"
..Two or More Races,"5,888","6,114","7,102","8,116","9,125","10,164","11,329","12,463","13,811","15,110","16,519","17,672","17,765"
FEMALE,"2,135,696","2,147,742","2,195,705","2,228,665","2,253,214","2,274,511","2,308,238","2,352,960","2,396,433","2,439,060","2,480,710","2,508,534","2,518,017"
.One Race,"2,099,813","2,111,203","2,156,507","2,186,867","2,208,922","2,227,807","2,258,594","2,300,126","2,340,046","2,379,163","2,416,965","2,441,622","2,450,621"
..White,"1,937,857","1,947,717","1,985,935","2,010,766","2,029,040","2,043,163","2,068,832","2,103,344","2,136,894","2,169,104","2,199,881","2,218,569","2,226,236"
..Black,"82,883","83,328","85,841","87,595","88,229","89,544","90,744","93,520","95,470","97,667","100,143","101,918","102,394"
..AIAN,"24,162","24,431","25,632","26,773","27,521","28,759","30,001","31,323","32,862","34,748","36,446","38,246","38,474"
..Asian,"52,337","53,122","56,292","58,793","61,081","63,111","65,720","68,488","71,180","73,771","76,507","78,732","79,327"
..NHPI,"2,574","2,605","2,807","2,940","3,051","3,230","3,297","3,451","3,640","3,873","3,988","4,157","4,190"
.Two or More Races,"35,883","36,539","39,198","41,798","44,292","46,704","49,644","52,834","56,387","59,897","63,745","66,912","67,396"
.NOT HISPANIC,"1,784,835","1,792,174","1,821,562","1,837,676","1,848,316","1,857,646","1,876,193","1,904,804","1,931,945","1,958,614","1,984,206","1,999,646","2,004,830"
..One Race,"1,754,968","1,761,875","1,789,542","1,804,066","1,813,245","1,821,217","1,837,974","1,864,658","1,889,551","1,913,984","1,937,213","1,950,713","1,955,491"
...White,"1,611,756","1,617,542","1,639,895","1,650,655","1,657,592","1,662,693","1,676,307","1,697,936","1,718,788","1,739,168","1,757,899","1,768,213","1,771,961"
...Black,"76,354","76,676","78,605","79,870","80,044","80,937","81,626","83,758","85,077","86,580","88,281","89,379","89,745"
...AIAN,"14,442","14,467","14,772","14,853","14,802","14,864","14,946","15,120","15,270","15,353","15,554","15,536","15,608"
...Asian,"50,547","51,297","54,240","56,587","58,663","60,486","62,824","65,440","67,912","70,235","72,789","74,753","75,327"
...NHPI,"1,869","1,893","2,030","2,101","2,144","2,237","2,271","2,404","2,504","2,648","2,690","2,832","2,850"
..Two or More Races,"29,867","30,299","32,020","33,610","35,071","36,429","38,219","40,146","42,394","44,630","46,993","48,933","49,339"
.HISPANIC,"350,861","355,568","374,143","390,989","404,898","416,865","432,045","448,156","464,488","480,446","496,504","508,888","513,187"
..One Race,"344,845","349,328","366,965","382,801","395,677","406,590","420,620","435,468","450,495","465,179","479,752","490,909","495,130"
...White,"326,101","330,175","346,040","360,111","371,448","380,470","392,525","405,408","418,106","429,936","441,982","450,356","454,275"
...Black,"6,529","6,652","7,236","7,725","8,185","8,607","9,118","9,762","10,393","11,087","11,862","12,539","12,649"
...AIAN,"9,720","9,964","10,860","11,920","12,719","13,895","15,055","16,203","17,592","19,395","20,892","22,710","22,866"
...Asian,"1,790","1,825","2,052","2,206","2,418","2,625","2,896","3,048","3,268","3,536","3,718","3,979","4,000"
...NHPI,705,712,777,839,907,993,"1,026","1,047","1,136","1,225","1,298","1,325","1,340"
..Two or More Races,"6,016","6,240","7,178","8,188","9,221","10,275","11,425","12,688","13,993","15,267","16,752","17,979","18,057"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Colorado: April 1, 2000 to July 1, 2010 (ST-EST2010-03-08)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
