table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"8,680","8,783","9,263","9,642","10,118","10,881","11,828","12,804","13,712","14,527","15,329","15,674","15,778"
...AIAN,"1,731","1,768","2,003","2,249","2,475","2,650","2,902","3,239","3,605","3,973","4,210","4,612","4,631"
...Asian,747,750,814,864,910,967,"1,106","1,151","1,263","1,324","1,411","1,469","1,478"
...NHPI,401,405,445,493,518,590,671,771,825,905,903,995,"1,007"
..Two or More Races,"2,944","3,033","3,560","4,020","4,507","4,978","5,647","6,166","6,777","7,384","8,040","8,540","8,582"
FEMALE,"5,840,964","5,845,425","5,853,691","5,859,385","5,868,535","5,874,411","5,876,703","5,883,067","5,890,965","5,896,594","5,902,018","5,904,348","5,903,350"
.One Race,"5,777,967","5,781,427","5,785,777","5,787,650","5,792,581","5,794,119","5,791,843","5,793,733","5,796,487","5,796,805","5,796,797","5,795,203","5,793,610"
..White,"5,000,651","5,001,440","4,995,510","4,987,763","4,983,052","4,975,945","4,964,625","4,957,616","4,951,037","4,942,619","4,935,642","4,928,358","4,925,150"
..Black,"693,716","695,483","702,162","708,165","713,683","718,547","723,653","729,073","734,855","740,026","744,305","747,174","748,246"
..AIAN,"12,434","12,474","12,691","12,838","12,978","13,104","13,351","13,462","13,788","14,163","14,125","14,438","14,480"
..Asian,"69,592","70,435","73,718","77,071","81,001","84,496","88,157","91,370","94,396","97,526","100,184","102,644","103,116"
..NHPI,"1,574","1,595","1,696","1,813","1,867","2,027","2,057","2,212","2,411","2,471","2,541","2,589","2,618"
.Two or More Races,"62,997","63,998","67,914","71,735","75,954","80,292","84,860","89,334","94,478","99,789","105,221","109,145","109,740"
.NOT HISPANIC,"5,736,122","5,739,430","5,741,540","5,741,140","5,743,903","5,743,231","5,738,591","5,738,003","5,738,284","5,736,483","5,735,279","5,732,520","5,730,524"
..One Race,"5,676,325","5,678,725","5,677,390","5,673,626","5,672,713","5,668,166","5,659,599","5,655,072","5,650,860","5,644,488","5,638,430","5,632,312","5,629,783"
