table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"11,537","11,674","12,464","13,376","14,730","16,583","18,511","20,822","22,628","23,731","24,376","25,162","25,366"
...AIAN,"1,668","1,853","2,572","3,286","3,980","4,693","5,431","6,184","6,947","7,786","8,652","9,297","9,342"
...Asian,"1,022","1,037","1,168","1,323","1,454","1,628","1,878","2,180","2,433","2,530","2,611","2,676","2,691"
...NHPI,396,414,515,580,702,809,972,"1,123","1,252","1,365","1,464","1,580","1,584"
..Two or More Races,"2,640","2,735","3,283","3,891","4,570","5,304","6,068","6,869","7,678","8,559","9,312","9,961","10,044"
FEMALE,"2,738,769","2,746,031","2,779,864","2,815,197","2,843,847","2,870,043","2,891,761","2,907,963","2,920,109","2,935,788","2,960,001","2,981,790","2,987,614"
.One Race,"2,703,584","2,710,176","2,740,753","2,772,885","2,798,094","2,821,001","2,838,976","2,851,633","2,860,019","2,871,841","2,892,071","2,910,507","2,915,885"
..White,"1,782,917","1,785,021","1,792,881","1,801,332","1,805,379","1,806,454","1,804,169","1,798,750","1,792,377","1,790,397","1,792,274","1,796,546","1,798,388"
..Black,"798,875","801,718","817,852","834,541","848,865","863,818","877,093","888,833","897,451","905,005","916,316","925,041","927,457"
..AIAN,"8,357","8,522","9,142","9,755","10,326","10,980","11,637","12,270","12,909","13,433","14,279","14,790","14,862"
..Asian,"112,046","113,510","119,361","125,628","131,792","137,919","144,047","149,608","154,956","160,539","166,707","171,548","172,587"
..NHPI,"1,389","1,405","1,517","1,629","1,732","1,830","2,030","2,172","2,326","2,467","2,495","2,582","2,591"
.Two or More Races,"35,185","35,855","39,111","42,312","45,753","49,042","52,785","56,330","60,090","63,947","67,930","71,283","71,729"
.NOT HISPANIC,"2,629,103","2,634,810","2,658,856","2,683,412","2,700,941","2,715,528","2,724,366","2,727,567","2,727,242","2,731,368","2,744,747","2,757,645","2,761,999"
..One Race,"2,596,625","2,601,761","2,623,122","2,645,077","2,659,797","2,671,701","2,677,590","2,677,975","2,674,705","2,675,673","2,685,866","2,696,059","2,700,038"
...White,"1,690,966","1,691,958","1,692,273","1,692,319","1,687,986","1,680,532","1,668,984","1,654,211","1,638,919","1,627,934","1,621,241","1,619,028","1,619,705"
