table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Pennsylvania: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"23,137","23,481","24,827","26,126","28,135","31,274","34,319","37,347","40,610","43,665","46,827","48,603","48,964"
...AIAN,"2,264","2,470","3,325","4,150","5,024","5,932","6,849","7,804","8,897","10,021","10,897","11,696","11,751"
...Asian,"1,343","1,357","1,505","1,639","1,851","2,145","2,438","2,763","2,958","3,246","3,416","3,456","3,474"
...NHPI,819,842,913,995,"1,131","1,304","1,486","1,586","1,729","1,870","1,932","2,095","2,103"
..Two or More Races,"4,443","4,632","5,600","6,515","7,555","8,624","9,786","11,041","12,437","13,816","15,193","16,294","16,316"
FEMALE,"6,351,193","6,351,999","6,354,395","6,363,832","6,377,894","6,390,749","6,405,053","6,429,312","6,452,087","6,473,295","6,497,024","6,512,016","6,514,672"
.One Race,"6,301,015","6,300,937","6,299,076","6,303,906","6,313,362","6,321,145","6,329,842","6,348,631","6,365,442","6,380,122","6,397,548","6,408,240","6,410,376"
..White,"5,509,464","5,506,445","5,492,196","5,482,660","5,476,024","5,466,553","5,457,534","5,457,063","5,455,610","5,452,267","5,453,057","5,452,472","5,452,082"
..Black,"664,902","666,247","671,548","678,067","685,896","694,721","703,924","714,483","723,963","733,761","742,141","747,149","748,645"
..AIAN,"9,956","10,138","11,027","11,940","12,838","13,832","14,753","15,644","16,746","17,748","18,994","19,589","19,687"
..Asian,"114,475","115,852","121,979","128,814","136,051","143,328","150,735","158,389","165,930","172,963","179,896","185,442","186,345"
..NHPI,"2,218","2,255","2,326","2,425","2,553","2,711","2,896","3,052","3,193","3,383","3,460","3,588","3,617"
.Two or More Races,"50,178","51,062","55,319","59,926","64,532","69,604","75,211","80,681","86,645","93,173","99,476","103,776","104,296"
.NOT HISPANIC,"6,158,940","6,157,590","6,148,567","6,145,084","6,144,672","6,141,487","6,138,980","6,144,547","6,148,561","6,151,927","6,157,897","6,160,174","6,160,774"
..One Race,"6,113,610","6,111,557","6,099,130","6,092,021","6,087,917","6,080,773","6,073,898","6,075,237","6,074,553","6,072,898","6,073,924","6,073,024","6,073,116"
...White,"5,350,574","5,346,144","5,323,574","5,304,533","5,287,492","5,267,307","5,247,012","5,233,479","5,219,188","5,204,279","5,192,908","5,183,304","5,181,290"
...Black,"640,722","641,728","645,702","650,793","656,525","662,466","668,610","675,917","682,153","688,528","693,999","697,358","698,527"
...AIAN,"7,733","7,732","7,878","8,029","8,189","8,348","8,429","8,495","8,600","8,633","8,713","8,718","8,753"
...Asian,"113,154","114,514","120,537","127,232","134,255","141,214","148,396","155,880","163,123","169,941","176,813","182,164","183,047"
...NHPI,"1,427","1,439","1,439","1,434","1,456","1,438","1,451","1,466","1,489","1,517","1,491","1,480","1,499"
..Two or More Races,"45,330","46,033","49,437","53,063","56,755","60,714","65,082","69,310","74,008","79,029","83,973","87,150","87,658"
.HISPANIC,"192,253","194,409","205,828","218,748","233,222","249,262","266,073","284,765","303,526","321,368","339,127","351,842","353,898"
..One Race,"187,405","189,380","199,946","211,885","225,445","240,372","255,944","273,394","290,889","307,224","323,624","335,216","337,260"
...White,"158,890","160,301","168,622","178,127","188,532","199,246","210,522","223,584","236,422","247,988","260,149","269,168","270,792"
...Black,"24,180","24,519","25,846","27,274","29,371","32,255","35,314","38,566","41,810","45,233","48,142","49,791","50,118"
...AIAN,"2,223","2,406","3,149","3,911","4,649","5,484","6,324","7,149","8,146","9,115","10,281","10,871","10,934"
...Asian,"1,321","1,338","1,442","1,582","1,796","2,114","2,339","2,509","2,807","3,022","3,083","3,278","3,298"
...NHPI,791,816,887,991,"1,097","1,273","1,445","1,586","1,704","1,866","1,969","2,108","2,118"
..Two or More Races,"4,848","5,029","5,882","6,863","7,777","8,890","10,129","11,371","12,637","14,144","15,503","16,626","16,638"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Pennsylvania: April 1, 2000 to July 1, 2010 (ST-EST2010-03-42)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
