table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for West Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..Asian,"4,963","5,019","5,088","5,254","5,467","5,665","5,802","6,012","6,115","6,329","6,576","6,696","6,716"
..NHPI,220,220,240,235,245,240,237,235,253,237,231,236,232
.Two or More Races,"7,010","7,079","7,552","8,021","8,506","9,097","9,724","10,328","10,994","11,709","12,361","12,816","12,992"
.NOT HISPANIC,"923,202","922,346","917,417","917,202","918,649","919,333","919,405","921,641","923,230","925,047","927,235","929,160","929,336"
..One Race,"916,329","915,405","910,034","909,387","910,397","910,518","910,039","911,728","912,701","913,827","915,413","916,895","917,008"
...White,"881,109","880,178","875,126","874,468","875,151","875,099","874,566","875,808","876,452","877,187","878,352","879,589","879,659"
...Black,"28,417","28,368","27,989","27,847","27,986","27,964","27,865","28,124","28,335","28,513","28,717","28,846","28,894"
...AIAN,"1,706","1,706","1,682","1,672","1,649","1,656","1,679","1,659","1,654","1,672","1,658","1,650","1,635"
...Asian,"4,913","4,969","5,032","5,201","5,404","5,597","5,728","5,939","6,043","6,256","6,494","6,613","6,631"
...NHPI,184,184,205,199,207,202,201,198,217,199,192,197,189
..Two or More Races,"6,873","6,941","7,383","7,815","8,252","8,815","9,366","9,913","10,529","11,220","11,822","12,265","12,328"
.HISPANIC,"5,895","5,923","6,226","6,639","7,186","7,694","8,285","8,964","9,453","9,864","10,199","10,248","10,404"
..One Race,"5,758","5,785","6,057","6,433","6,932","7,412","7,927","8,549","8,988","9,375","9,660","9,697","9,740"
...White,"5,347","5,374","5,595","5,908","6,347","6,795","7,243","7,790","8,190","8,463","8,727","8,774","8,812"
...Black,242,242,277,324,373,398,460,518,539,626,632,632,627
...AIAN,83,83,94,112,111,113,114,131,151,175,180,169,173
...Asian,50,50,56,53,63,68,74,73,72,73,82,83,85
...NHPI,36,36,35,36,38,38,36,37,36,38,39,39,43
..Two or More Races,137,138,169,206,254,282,358,415,465,489,539,551,664
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for West Virginia: April 1, 2000 to July 1, 2010 (ST-EST2010-03-54)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
