table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"12,752","12,967","13,649","14,326","15,110","16,494","17,780","19,369","20,651","22,068","23,388","24,587","24,808"
...AIAN,"2,034","2,253","3,099","3,953","4,807","5,663","6,523","7,419","8,351","9,340","10,442","11,220","11,294"
...Asian,"1,490","1,513","1,664","1,870","2,084","2,329","2,596","2,929","3,139","3,404","3,636","3,828","3,850"
...NHPI,632,647,752,828,919,987,"1,142","1,276","1,375","1,478","1,621","1,705","1,718"
..Two or More Races,"3,471","3,592","4,278","5,092","5,898","6,700","7,637","8,629","9,567","10,491","11,528","12,344","12,423"
FEMALE,"3,606,938","3,619,742","3,665,386","3,713,695","3,757,780","3,814,310","3,863,646","3,908,475","3,947,966","3,988,983","4,037,895","4,075,041","4,086,404"
.One Race,"3,557,784","3,569,655","3,611,285","3,655,192","3,694,931","3,746,510","3,790,497","3,830,071","3,863,898","3,899,053","3,941,636","3,973,973","3,984,598"
..White,"2,668,879","2,675,392","2,698,959","2,724,038","2,745,404","2,775,266","2,798,142","2,817,068","2,832,707","2,849,369","2,871,680","2,888,516","2,894,296"
..Black,"735,950","738,983","746,761","755,141","763,095","773,802","783,132","793,096","800,438","808,572","818,121","825,004","828,066"
..AIAN,"11,114","11,344","12,278","13,161","13,947","14,846","15,650","16,436","17,254","18,096","19,140","19,872","19,988"
..Asian,"139,572","141,640","150,794","160,209","169,692","179,612","190,452","200,184","210,053","219,408","228,853","236,636","238,275"
..NHPI,"2,269","2,296","2,493","2,643","2,793","2,984","3,121","3,287","3,446","3,608","3,842","3,945","3,973"
.Two or More Races,"49,154","50,087","54,101","58,503","62,849","67,800","73,149","78,404","84,068","89,930","96,259","101,068","101,806"
.NOT HISPANIC,"3,453,006","3,463,611","3,495,973","3,530,481","3,560,461","3,601,838","3,635,051","3,663,903","3,687,861","3,714,504","3,747,227","3,772,160","3,781,221"
..One Race,"3,407,419","3,417,207","3,446,197","3,477,074","3,503,428","3,540,641","3,569,378","3,593,953","3,613,200","3,634,891","3,662,436","3,683,358","3,691,752"
...White,"2,535,044","2,539,872","2,552,621","2,566,470","2,576,435","2,594,153","2,604,057","2,610,462","2,613,995","2,619,549","2,629,543","2,636,976","2,640,826"
...Black,"723,132","725,978","732,929","740,514","747,496","756,973","765,102","773,638","779,573","786,445","794,514","800,246","803,102"
...AIAN,"9,358","9,404","9,626","9,792","9,841","10,029","10,089","10,135","10,191","10,279","10,416","10,508","10,563"
...Asian,"138,082","140,130","149,105","158,283","167,569","177,289","187,858","197,382","207,023","216,080","225,290","232,936","234,551"
...NHPI,"1,803","1,823","1,916","2,015","2,087","2,197","2,272","2,336","2,418","2,538","2,673","2,692","2,710"
..Two or More Races,"45,587","46,404","49,776","53,407","57,033","61,197","65,673","69,950","74,661","79,613","84,791","88,802","89,469"
.HISPANIC,"153,932","156,131","169,413","183,214","197,319","212,472","228,595","244,572","260,105","274,479","290,668","302,881","305,183"
..One Race,"150,365","152,448","165,088","178,118","191,503","205,869","221,119","236,118","250,698","264,162","279,200","290,615","292,846"
...White,"133,835","135,520","146,338","157,568","168,969","181,113","194,085","206,606","218,712","229,820","242,137","251,540","253,470"
...Black,"12,818","13,005","13,832","14,627","15,599","16,829","18,030","19,458","20,865","22,127","23,607","24,758","24,964"
...AIAN,"1,756","1,940","2,652","3,369","4,106","4,817","5,561","6,301","7,063","7,817","8,724","9,364","9,425"
...Asian,"1,490","1,510","1,689","1,926","2,123","2,323","2,594","2,802","3,030","3,328","3,563","3,700","3,724"
...NHPI,466,473,577,628,706,787,849,951,"1,028","1,070","1,169","1,253","1,263"
..Two or More Races,"3,567","3,683","4,325","5,096","5,816","6,603","7,476","8,454","9,407","10,317","11,468","12,266","12,337"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Virginia: April 1, 2000 to July 1, 2010 (ST-EST2010-03-51)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
