table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Michigan: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"8,775","8,901","9,437","9,904","10,379","10,782","11,096","11,513","11,936","12,422","12,996","13,491","13,579"
...AIAN,"3,317","3,380","3,571","3,891","4,136","4,390","4,700","5,180","5,453","5,875","6,391","6,925","6,955"
...Asian,"1,002","1,005","1,094","1,188","1,342","1,436","1,502","1,643","1,666","1,674","1,686","1,647","1,656"
...NHPI,490,494,517,547,579,605,610,600,625,627,613,602,604
..Two or More Races,"3,965","4,064","4,612","5,105","5,667","6,166","6,821","7,477","8,090","8,743","9,440","9,962","9,971"
FEMALE,"5,065,538","5,072,182","5,089,289","5,100,171","5,110,521","5,117,929","5,114,320","5,106,621","5,091,035","5,065,899","5,044,338","5,035,526","5,031,611"
.One Race,"4,999,155","5,004,817","5,018,394","5,025,636","5,032,245","5,035,852","5,028,591","5,017,119","4,997,952","4,969,188","4,943,656","4,931,485","4,927,222"
..White,"4,125,956","4,128,638","4,133,726","4,134,453","4,134,747","4,132,853","4,122,909","4,109,217","4,090,019","4,064,307","4,040,468","4,026,848","4,021,585"
..Black,"750,892","752,642","755,765","756,886","757,779","758,768","757,348","755,819","753,009","748,048","743,987","743,380","743,826"
..AIAN,"30,104","30,273","30,626","31,059","31,324","31,722","32,089","32,426","32,748","32,898","33,499","34,167","34,224"
..Asian,"90,702","91,757","96,695","101,631","106,745","110,849","114,554","117,920","120,443","122,171","123,939","125,375","125,855"
..NHPI,"1,501","1,507","1,582","1,607","1,650","1,660","1,691","1,737","1,733","1,764","1,763","1,715","1,732"
.Two or More Races,"66,383","67,365","70,895","74,535","78,276","82,077","85,729","89,502","93,083","96,711","100,682","104,041","104,389"
.NOT HISPANIC,"4,912,200","4,917,273","4,925,920","4,929,820","4,933,798","4,935,012","4,925,200","4,911,333","4,890,566","4,860,475","4,833,727","4,821,081","4,816,163"
..One Race,"4,849,920","4,854,110","4,859,812","4,860,663","4,861,484","4,859,462","4,846,651","4,829,678","4,805,984","4,772,985","4,743,039","4,727,554","4,722,299"
...White,"3,990,059","3,991,468","3,989,724","3,985,061","3,980,380","3,973,819","3,959,176","3,940,878","3,918,182","3,889,067","3,862,150","3,846,182","3,840,043"
...Black,"741,863","743,478","746,007","746,542","746,999","747,474","745,600","743,618","740,303","734,793","730,085","728,953","729,320"
...AIAN,"27,147","27,252","27,289","27,407","27,449","27,520","27,562","27,566","27,512","27,399","27,403","27,600","27,637"
...Asian,"89,740","90,797","95,640","100,485","105,485","109,487","113,137","116,428","118,825","120,542","122,253","123,684","124,152"
...NHPI,"1,111","1,115","1,152","1,168","1,171","1,162","1,176","1,188","1,162","1,184","1,148","1,135","1,147"
..Two or More Races,"62,280","63,163","66,108","69,157","72,314","75,550","78,549","81,655","84,582","87,490","90,688","93,527","93,864"
.HISPANIC,"153,338","154,909","163,369","170,351","176,723","182,917","189,120","195,288","200,469","205,424","210,611","214,445","215,448"
