table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Washington: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
...AIAN,"5,569","5,715","6,569","7,353","8,405","9,603","10,929","12,196","13,714","15,387","16,631","17,693","17,813"
...Asian,"2,448","2,521","2,691","2,985","3,371","3,864","4,421","4,806","5,094","5,515","5,813","6,043","6,091"
...NHPI,"1,064","1,077","1,130","1,211","1,384","1,518","1,702","1,844","1,928","2,028","2,124","2,176","2,191"
..Two or More Races,"6,110","6,385","7,405","8,405","9,499","10,722","11,988","13,428","14,974","16,461","18,127","19,470","19,520"
FEMALE,"2,959,899","2,967,734","3,002,080","3,036,742","3,065,739","3,107,815","3,145,396","3,200,695","3,247,800","3,293,162","3,343,920","3,374,833","3,384,306"
.One Race,"2,878,690","2,884,932","2,914,689","2,944,505","2,968,749","3,005,267","3,037,325","3,086,021","3,126,410","3,164,909","3,208,169","3,233,409","3,242,039"
..White,"2,548,679","2,552,211","2,569,643","2,587,493","2,600,591","2,624,149","2,643,273","2,675,707","2,701,575","2,725,548","2,753,981","2,770,200","2,776,053"
..Black,"92,298","92,487","94,830","97,146","98,950","101,046","103,200","106,474","108,932","111,988","115,277","116,535","116,986"
..AIAN,"48,556","48,737","49,597","50,386","51,422","53,028","53,963","55,236","56,730","58,238","59,455","60,461","60,759"
..Asian,"176,798","178,950","187,263","195,391","202,934","211,276","220,135","230,855","240,430","249,335","258,607","264,619","266,508"
..NHPI,"12,359","12,547","13,356","14,089","14,852","15,768","16,754","17,749","18,743","19,800","20,849","21,594","21,733"
.Two or More Races,"81,209","82,802","87,391","92,237","96,990","102,548","108,071","114,674","121,390","128,253","135,751","141,424","142,267"
.NOT HISPANIC,"2,754,018","2,759,259","2,780,761","2,802,822","2,819,297","2,846,212","2,869,030","2,906,868","2,937,057","2,964,361","2,995,531","3,013,287","3,020,111"
..One Race,"2,678,846","2,682,758","2,700,710","2,718,956","2,731,669","2,754,336","2,772,888","2,805,560","2,830,618","2,852,500","2,877,947","2,891,231","2,897,293"
...White,"2,362,116","2,363,600","2,370,551","2,378,092","2,381,370","2,393,896","2,401,905","2,420,749","2,433,549","2,443,380","2,456,048","2,461,760","2,465,302"
...Black,"87,498","87,620","89,712","91,716","93,161","94,592","96,104","98,636","100,495","102,836","105,513","106,502","106,863"
...AIAN,"43,547","43,595","43,655","43,805","43,883","44,102","44,031","44,121","44,309","44,396","44,552","44,654","44,843"
...Asian,"174,290","176,373","184,530","192,397","199,657","207,455","215,731","226,056","235,332","244,043","252,984","258,729","260,576"
...NHPI,"11,395","11,570","12,262","12,946","13,598","14,291","15,117","15,998","16,933","17,845","18,850","19,586","19,709"
..Two or More Races,"75,172","76,501","80,051","83,866","87,628","91,876","96,142","101,308","106,439","111,861","117,584","122,056","122,818"
.HISPANIC,"205,881","208,475","221,319","233,920","246,442","261,603","276,366","293,827","310,743","328,801","348,389","361,546","364,195"
..One Race,"199,844","202,174","213,979","225,549","237,080","250,931","264,437","280,461","295,792","312,409","330,222","342,178","344,746"
...White,"186,563","188,611","199,092","209,401","219,221","230,253","241,368","254,958","268,026","282,168","297,933","308,440","310,751"
...Black,"4,800","4,867","5,118","5,430","5,789","6,454","7,096","7,838","8,437","9,152","9,764","10,033","10,123"
...AIAN,"5,009","5,142","5,942","6,581","7,539","8,926","9,932","11,115","12,421","13,842","14,903","15,807","15,916"
...Asian,"2,508","2,577","2,733","2,994","3,277","3,821","4,404","4,799","5,098","5,292","5,623","5,890","5,932"
...NHPI,964,977,"1,094","1,143","1,254","1,477","1,637","1,751","1,810","1,955","1,999","2,008","2,024"
..Two or More Races,"6,037","6,301","7,340","8,371","9,362","10,672","11,929","13,366","14,951","16,392","18,167","19,368","19,449"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Washington: April 1, 2000 to July 1, 2010 (ST-EST2010-03-53)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
