table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Wyoming: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Two or More Races,"2,901","2,918","3,051","3,232","3,347","3,558","3,763","3,973","4,209","4,483","4,785","4,858","5,014"
.NOT HISPANIC,"230,064","230,096","229,483","231,402","232,205","233,840","235,274","237,996","242,234","246,098","250,952","252,392","252,525"
..One Race,"227,510","227,525","226,825","228,598","229,324","230,799","232,082","234,678","238,730","242,387","246,989","248,406","248,473"
...White,"219,230","219,236","218,223","219,837","220,459","221,697","222,962","225,320","229,002","232,458","236,721","238,163","238,266"
...Black,"1,450","1,443","1,534","1,568","1,595","1,663","1,615","1,645","1,677","1,715","1,783","1,709","1,692"
...AIAN,"5,090","5,094","5,233","5,274","5,288","5,404","5,387","5,505","5,658","5,742","5,889","5,909","5,904"
...Asian,"1,590","1,602","1,656","1,734","1,804","1,872","1,950","2,025","2,196","2,290","2,418","2,446","2,445"
...NHPI,150,150,179,185,178,163,168,183,197,182,178,179,166
..Two or More Races,"2,554","2,571","2,658","2,804","2,881","3,041","3,192","3,318","3,504","3,711","3,963","3,986","4,052"
.HISPANIC,"15,337","15,488","15,844","16,383","16,923","17,666","18,452","19,365","20,542","21,884","23,094","23,797","23,989"
..One Race,"14,990","15,141","15,451","15,955","16,457","17,149","17,881","18,710","19,837","21,112","22,272","22,925","23,027"
...White,"14,109","14,258","14,454","14,890","15,339","15,952","16,594","17,348","18,234","19,403","20,508","21,093","21,213"
...Black,226,226,243,246,244,272,282,290,322,313,375,365,361
...AIAN,553,555,630,686,719,770,837,894,"1,101","1,190","1,160","1,234","1,230"
...Asian,82,82,104,108,121,121,122,129,130,142,167,168,163
...NHPI,20,20,20,25,34,34,46,49,50,64,62,65,60
..Two or More Races,347,347,393,428,466,517,571,655,705,772,822,872,962
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Wyoming: April 1, 2000 to July 1, 2010 (ST-EST2010-03-56)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
