table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
...White,"234,353","237,175","255,333","271,230","285,160","302,893","319,436","340,374","359,328","373,740","383,825","389,850","392,779"
...Black,"14,696","14,979","16,416","17,703","19,153","21,118","23,067","25,663","28,307","31,632","34,748","36,479","36,788"
...AIAN,"3,715","3,937","4,849","5,889","6,816","7,789","8,786","9,887","11,203","12,646","14,042","15,303","15,405"
...Asian,"1,556","1,584","1,792","1,969","2,123","2,297","2,519","2,724","2,968","3,243","3,457","3,601","3,627"
...NHPI,"1,145","1,166","1,322","1,538","1,647","1,764","1,937","2,004","2,237","2,395","2,514","2,777","2,799"
..Two or More Races,"2,820","2,969","3,781","4,589","5,423","6,304","7,229","8,204","9,266","10,346","11,618","12,440","12,494"
FEMALE,"4,159,444","4,180,233","4,256,162","4,327,934","4,394,952","4,463,524","4,555,263","4,670,606","4,777,572","4,856,984","4,917,756","4,958,482","4,970,311"
.One Race,"4,122,375","4,142,406","4,214,193","4,281,748","4,344,700","4,408,584","4,495,628","4,605,469","4,706,441","4,780,235","4,835,537","4,872,492","4,883,778"
..White,"2,766,265","2,776,993","2,811,270","2,841,428","2,869,542","2,895,246","2,935,452","2,981,976","3,027,479","3,057,319","3,074,716","3,087,309","3,092,458"
..Black,"1,252,105","1,259,574","1,288,394","1,317,089","1,343,824","1,373,494","1,410,733","1,462,777","1,508,475","1,542,887","1,572,599","1,590,944","1,595,861"
..AIAN,"10,952","11,203","12,386","13,506","14,568","15,618","16,752","18,203","19,171","20,533","21,761","22,661","22,779"
..Asian,"90,714","92,248","99,580","106,909","113,703","120,951","129,226","138,740","147,285","155,259","161,808","166,744","167,810"
..NHPI,"2,339","2,388","2,563","2,816","3,063","3,275","3,465","3,773","4,031","4,237","4,653","4,834","4,870"
.Two or More Races,"37,069","37,827","41,969","46,186","50,252","54,940","59,635","65,137","71,131","76,749","82,219","85,990","86,533"
.NOT HISPANIC,"3,982,502","4,000,467","4,055,527","4,107,567","4,155,141","4,203,115","4,271,278","4,359,799","4,439,713","4,495,985","4,537,555","4,565,243","4,574,308"
