table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Montana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Two or More Races,"6,856","6,931","7,333","7,711","8,104","8,486","8,939","9,483","10,063","10,452","11,022","11,504","11,670"
.NOT HISPANIC,"443,739","444,388","444,990","446,476","449,314","453,758","457,879","462,936","467,888","473,000","476,218","478,667","479,137"
..One Race,"437,352","437,925","438,178","439,332","441,848","445,917","449,665","454,265","458,712","463,483","466,226","468,219","468,633"
...White,"406,054","406,517","406,310","407,141","409,314","412,871","416,030","420,352","424,326","428,646","430,941","432,656","433,032"
...Black,949,937,"1,068","1,121","1,214","1,300","1,286","1,337","1,369","1,371","1,346","1,287","1,274"
...AIAN,"27,411","27,484","27,723","27,902","28,075","28,366","28,821","28,943","29,230","29,587","29,923","30,266","30,319"
...Asian,"2,725","2,774","2,851","2,927","3,011","3,130","3,273","3,375","3,500","3,606","3,725","3,734","3,740"
...NHPI,213,213,226,241,234,250,255,258,287,273,291,276,268
..Two or More Races,"6,387","6,463","6,812","7,144","7,466","7,841","8,214","8,671","9,176","9,517","9,992","10,448","10,504"
.HISPANIC,"8,984","9,037","9,693","10,236","10,802","11,242","11,901","12,405","13,051","13,477","13,904","14,081","14,259"
..One Race,"8,515","8,569","9,172","9,669","10,164","10,597","11,176","11,593","12,164","12,542","12,874","13,025","13,093"
...White,"7,369","7,410","7,932","8,304","8,672","9,066","9,484","9,834","10,242","10,564","10,789","10,889","10,946"
...Black,117,117,149,160,180,205,202,205,212,204,233,208,218
...AIAN,914,920,965,"1,074","1,183","1,190","1,350","1,409","1,572","1,626","1,704","1,776","1,773"
...Asian,87,94,97,98,94,99,94,95,87,94,94,96,98
...NHPI,28,28,29,33,35,37,46,50,51,54,54,56,58
..Two or More Races,469,468,521,567,638,645,725,812,887,935,"1,030","1,056","1,166"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Montana: April 1, 2000 to July 1, 2010 (ST-EST2010-03-30)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
